StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q14,Q14_4_TEXT,SATISFIED,INFOR,TECH,AGREE_1,AGREE_2,AGREE_3,AGREE_4,AGREE_5,AGREE_6,Q12,Q13,Q14,Q17,TOPICS,Q11,Q15_1,Q15_4,Q15_5,Q15_6,Q15_7,Q15_8,Q15_8_TEXT,Q16_1,Q16_4,Q16_5,Q16_6,Q16_7,Q16_8,Q16_9,Q16_10,Q16_11,Q16_12,Q16_13,Q16_14,Q16_15,Q16_16,Q16_17
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Which workshop did you attend? - Selected Choice,Which workshop did you attend? - Other - Text,"Overall, how satisfied were you with the workshop?","Prior to the event, how much of the information that you needed did you receive?",How well did the technology work for you?,Indicate your agreement with the following statements - The workshop was an effective use of my time.,"Indicate your agreement with the following statements - The workshop was understandable, clear, and professional.",Indicate your agreement with the following statements - The workshop leaders were knowledgeable.,Indicate your agreement with the following statements - The workshop was relevant to my professional context.,Indicate your agreement with the following statements - The workshop addressed a need I have as an educator.,Indicate your agreement with the following statements - The workshop will help me to improve my professional practice.,What suggestions do you have for how the workshop could have been improved?,What was the most impactful take away or idea you learned from the workshop?,"How do you anticipate your professional practice will change, if at all, as a result of attending the workshop?",What questions remain for you about the workshop topic?,What other professional learning topics might you be interested in attending a workshop on in the next year?,Is there anything else you would like us to know?,"What is your professional role for the 2020-21 school year? Select all that apply. If you’re not sure yet, indicate your current role(s). - Selected Choice - Teacher who teaches science, mathematics, or STEM related content","What is your professional role for the 2020-21 school year? Select all that apply. If you’re not sure yet, indicate your current role(s). - Selected Choice - Teacher who does not teach STEM content","What is your professional role for the 2020-21 school year? Select all that apply. If you’re not sure yet, indicate your current role(s). - Selected Choice - Instructional leader (teacher leader, instructional coach, teacher educator, etc.)","What is your professional role for the 2020-21 school year? Select all that apply. If you’re not sure yet, indicate your current role(s). - Selected Choice - School-based administrator","What is your professional role for the 2020-21 school year? Select all that apply. If you’re not sure yet, indicate your current role(s). - Selected Choice - District, county, or state-based administrator","What is your professional role for the 2020-21 school year? Select all that apply. If you’re not sure yet, indicate your current role(s). - Selected Choice - Other","What is your professional role for the 2020-21 school year? Select all that apply. If you’re not sure yet, indicate your current role(s). - Other - Text","What grade level(s) will you be working with in the 2020-21 school year? If you’re not sure yet, indicate the grade level(s) you currently work with. - PreK/K","What grade level(s) will you be working with in the 2020-21 school year? If you’re not sure yet, indicate the grade level(s) you currently work with. - 1","What grade level(s) will you be working with in the 2020-21 school year? If you’re not sure yet, indicate the grade level(s) you currently work with. - 2","What grade level(s) will you be working with in the 2020-21 school year? If you’re not sure yet, indicate the grade level(s) you currently work with. - 3","What grade level(s) will you be working with in the 2020-21 school year? If you’re not sure yet, indicate the grade level(s) you currently work with. - 4","What grade level(s) will you be working with in the 2020-21 school year? If you’re not sure yet, indicate the grade level(s) you currently work with. - 5","What grade level(s) will you be working with in the 2020-21 school year? If you’re not sure yet, indicate the grade level(s) you currently work with. - 6","What grade level(s) will you be working with in the 2020-21 school year? If you’re not sure yet, indicate the grade level(s) you currently work with. - 7","What grade level(s) will you be working with in the 2020-21 school year? If you’re not sure yet, indicate the grade level(s) you currently work with. - 8","What grade level(s) will you be working with in the 2020-21 school year? If you’re not sure yet, indicate the grade level(s) you currently work with. - 9","What grade level(s) will you be working with in the 2020-21 school year? If you’re not sure yet, indicate the grade level(s) you currently work with. - 10","What grade level(s) will you be working with in the 2020-21 school year? If you’re not sure yet, indicate the grade level(s) you currently work with. - 11","What grade level(s) will you be working with in the 2020-21 school year? If you’re not sure yet, indicate the grade level(s) you currently work with. - 12","What grade level(s) will you be working with in the 2020-21 school year? If you’re not sure yet, indicate the grade level(s) you currently work with. - Postsecondary","What grade level(s) will you be working with in the 2020-21 school year? If you’re not sure yet, indicate the grade level(s) you currently work with. - N/A"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID27""}","{""ImportId"":""QID27_4_TEXT""}","{""ImportId"":""QID1""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID13_7""}","{""ImportId"":""QID13_4""}","{""ImportId"":""QID13_2""}","{""ImportId"":""QID13_3""}","{""ImportId"":""QID13_5""}","{""ImportId"":""QID21_TEXT""}","{""ImportId"":""QID22_TEXT""}","{""ImportId"":""QID23_TEXT""}","{""ImportId"":""QID26_TEXT""}","{""ImportId"":""QID17_TEXT""}","{""ImportId"":""QID20_TEXT""}","{""ImportId"":""QID24"",""choiceId"":""1""}","{""ImportId"":""QID24"",""choiceId"":""4""}","{""ImportId"":""QID24"",""choiceId"":""5""}","{""ImportId"":""QID24"",""choiceId"":""6""}","{""ImportId"":""QID24"",""choiceId"":""7""}","{""ImportId"":""QID24"",""choiceId"":""8""}","{""ImportId"":""QID24_8_TEXT""}","{""ImportId"":""QID25"",""choiceId"":""1""}","{""ImportId"":""QID25"",""choiceId"":""4""}","{""ImportId"":""QID25"",""choiceId"":""5""}","{""ImportId"":""QID25"",""choiceId"":""6""}","{""ImportId"":""QID25"",""choiceId"":""7""}","{""ImportId"":""QID25"",""choiceId"":""8""}","{""ImportId"":""QID25"",""choiceId"":""9""}","{""ImportId"":""QID25"",""choiceId"":""10""}","{""ImportId"":""QID25"",""choiceId"":""11""}","{""ImportId"":""QID25"",""choiceId"":""12""}","{""ImportId"":""QID25"",""choiceId"":""13""}","{""ImportId"":""QID25"",""choiceId"":""14""}","{""ImportId"":""QID25"",""choiceId"":""15""}","{""ImportId"":""QID25"",""choiceId"":""16""}","{""ImportId"":""QID25"",""choiceId"":""17""}"
2020-06-12 14:25:25,2020-06-12 14:27:29,IP Address,76.9.166.133,100,124,True,2020-06-12 14:27:30,R_2yjc78OfFGfMqor,,,,,35.6172943115234375,-87.03170013427734375,anonymous,EN,Returning to School After COVID-19: Using SEL & Trauma Informed Practices to Re-engage Students in STEM Learning,,Very satisfied,All the information,Extremely well,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,How to engage with students that have trauma.,I will be more aware of the possible traumas student  could have and how to address it in the  classroom.,,"Trauma, engagement, stem",,"Teacher who teaches science, mathematics, or STEM related content",,,,,,,,,,,,,6,,,,,,,,
2020-06-12 14:27:04,2020-06-12 14:28:20,IP Address,173.242.249.32,100,75,True,2020-06-12 14:28:20,R_Bu15V1UQpKBPpAt,,,,,35.7989044189453125,-86.2415008544921875,anonymous,EN,Returning to School After COVID-19: Using SEL & Trauma Informed Practices to Re-engage Students in STEM Learning,,Very satisfied,All the information,Extremely well,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,,,,,,,"Teacher who teaches science, mathematics, or STEM related content",,,,,,,,,,,,,,,,9,10,11,12,,
2020-06-12 14:25:47,2020-06-12 14:29:40,IP Address,99.203.96.97,100,232,True,2020-06-12 14:29:40,R_3HqbdtwnaUnuCzS,,,,,36.1670989990234375,-86.786102294921875,anonymous,EN,Returning to School After COVID-19: Using SEL & Trauma Informed Practices to Re-engage Students in STEM Learning,,Very satisfied,Most of the information,Fairly well,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"It might have been a good idea to group elementary, middle, and high separately. ",I need to think of what my students may have been through at home and how I will do things differently in the classroom when we go back.,More patient.,Just the uncertainty of what schools will look like in August.,"More SEL for elementary ",No,,Teacher who does not teach STEM content,,,,,,PreK/K,,,,,,,,,,,,,,
2020-06-12 14:27:43,2020-06-12 14:29:59,IP Address,99.188.168.165,100,136,True,2020-06-12 14:30:00,R_2YgmfTSdPj5tPrx,,,,,36.27490234375,-86.824798583984375,anonymous,EN,Returning to School After COVID-19: Using SEL & Trauma Informed Practices to Re-engage Students in STEM Learning,,Satisfied,Some of the information,Fairly well,Agree,Agree,Agree,Agree,Agree,Agree,N/A,N/A,N/A,N/A,N/A,N/A,"Teacher who teaches science, mathematics, or STEM related content",,,,,,,,,,,,,6,,,,,,,,
2020-06-12 14:27:09,2020-06-12 14:33:16,IP Address,73.58.163.121,100,366,True,2020-06-12 14:33:16,R_2dElFTOLliKrkWK,,,,,36.1085052490234375,-86.7738037109375,anonymous,EN,Returning to School After COVID-19: Using SEL & Trauma Informed Practices to Re-engage Students in STEM Learning,,Very satisfied,Most of the information,Extremely well,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,None that come to mind.,How much I miss professional dialogue and sharing!,"I received so many good ideas and awareness about issues, I do not think I cannot change for the better!",I am not sure how to update the Google slides/documents from the workshop.,I really enjoy the breakout session work. Maybe more opportunities to work with the SEL material with other professionals outside of my school.,,"Teacher who teaches science, mathematics, or STEM related content",,,,,,,,,,,,,6,,,,,,,,
2020-06-12 14:32:27,2020-06-12 14:37:00,IP Address,99.203.96.166,100,272,True,2020-06-12 14:37:00,R_31z14KaZkRDabVV,,,,,36.1670989990234375,-86.786102294921875,anonymous,EN,Returning to School After COVID-19: Using SEL & Trauma Informed Practices to Re-engage Students in STEM Learning,,Very satisfied,All the information,Fairly well,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"Nothing ","Self care and reflect positive to students ","More care ",,,,,,,,,Other,"Tutor ",,,,,,5,6,7,8,,,,,,
2020-06-12 14:27:16,2020-06-12 14:37:22,IP Address,68.53.26.83,100,606,True,2020-06-12 14:37:23,R_24uQIQFXym9mpNr,,,,,36.186798095703125,-86.5066986083984375,anonymous,EN,Returning to School After COVID-19: Using SEL & Trauma Informed Practices to Re-engage Students in STEM Learning,,Very satisfied,All the information,Extremely well,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,"An important take away for me was gaining understanding about how students poor behaviors are sometimes a result of their trauma reactions and that we must shape our teaching, counseling, disciplining, etc. in light of that knowledge.",I plan to embed more trauma-informed teaching methods & SEL goals into my academic lesson plans.,,,,"Teacher who teaches science, mathematics, or STEM related content",,,,,,,,,2,,,,,,,,,,,,
2020-06-12 14:42:35,2020-06-12 14:49:51,IP Address,99.2.2.85,100,435,True,2020-06-12 14:49:51,R_3e5hmywXC3Mx0B8,,,,,35.93060302734375,-86.8787994384765625,anonymous,EN,Returning to School After COVID-19: Using SEL & Trauma Informed Practices to Re-engage Students in STEM Learning,,Very satisfied,All the information,Extremely well,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Could have been longer,This is so timely with everything going on in the world these past few months.,I’ll be more understanding of misbehavior if the child has endured a trauma.,"Will there be another PD on this? ",,"That was a timely professional development well presented. One of the best PDs I’ve attended,","Teacher who teaches science, mathematics, or STEM related content",,,,,,,,,2,,,,,,,,,,,,
