"","StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","Q14","Q14_4_TEXT","SATISFIED","INFOR","TECH","AGREE_1","AGREE_2","AGREE_3","AGREE_4","AGREE_5","AGREE_6","Q12","Q13","Q14.1","Q17","TOPICS","Q11","Q15_1","Q15_4","Q15_5","Q15_6","Q15_7","Q15_8","Q15_8_TEXT","Q16_1","Q16_4","Q16_5","Q16_6","Q16_7","Q16_8","Q16_9","Q16_10","Q16_11","Q16_12","Q16_13","Q16_14","Q16_15","Q16_16","Q16_17"
"1","6/16/2020 11:56","6/16/2020 12:06","IP Address","184.60.143.200",100,577,TRUE,"6/16/2020 12:06","R_3nP0txEPpS21U41",NA,NA,NA,NA,36.1867981,-86.50669861,"anonymous","EN","Valuing and Leveraging Emerging Bilingual Students’ Ways of Communicating About the Natural World","","Satisfied","Some of the information","Extremely well","Agree","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","More time.  We ran out of time.  Perhaps more resources to explore. ","Many ELL students cannot express what they want to say and many times, just wont.","By seeking alternative ways for students to express their understanding of learning, with a focus on ELL students.  Not just ways to present knowledge at the end of study but during the study. ","How to communicate better with ELL students when no one else speaks their language. ","Related Arts classes (have each class a limited amount of time each school year)- How to make a better connection with your students. ","Thank you for the time and effort it took to put this together. Thank you","Teacher who teaches science, mathematics, or STEM related content","","Instructional leader (teacher leader, instructional coach, teacher educator, etc.)","","","Other","Computer TECHnology","PreK/K",1,2,3,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","6/16/2020 15:17","6/16/2020 15:18","IP Address","75.46.246.156",100,45,TRUE,"6/16/2020 15:18","R_2w5p1RlABc9YVtz",NA,NA,NA,NA,35.71629333,-86.90930176,"anonymous","EN","Valuing and Leveraging Emerging Bilingual Students’ Ways of Communicating About the Natural World","","Satisfied","Some of the information","Fairly well","Agree","Agree","Agree","Agree","Agree","Agree","","","","","","","Teacher who teaches science, mathematics, or STEM related content","","","","","","","",NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","6/16/2020 15:25","6/16/2020 15:27","IP Address","96.4.42.130",100,105,TRUE,"6/16/2020 15:27","R_3Gpqlsj4kIwwWw3",NA,NA,NA,NA,35.61729431,-87.03170013,"anonymous","EN","Valuing and Leveraging Emerging Bilingual Students’ Ways of Communicating About the Natural World","","Satisfied","None of the information","Extremely well","Agree","Agree","Agree","Agree","Agree","Agree","","","","","","","","","","School-based administrator","","","","",NA,NA,NA,NA,5,6,7,8,NA,NA,NA,NA,NA,NA
"4","6/16/2020 17:10","6/16/2020 17:16","IP Address","71.128.161.0",100,331,TRUE,"6/16/2020 17:16","R_1JWaW15Y5n39XPx",NA,NA,NA,NA,35.84509277,-86.49009705,"anonymous","EN","Valuing and Leveraging Emerging Bilingual Students’ Ways of Communicating About the Natural World","","Very satisfied","Most of the information","Extremely well","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","The videos were very helpful; ability to view the video, especially the last video longer would have been welcomed.","Importance of allowing students “think time” and to create a culture of appreciating how to figure out the answer versus finding the answer. ","The concept of figuring out versus finding out will change my practice. ","Inventing words; I am unclear regarding this concept. ","SEL","","","","","","District, county, or state-based administrator","","","PreK/K",1,2,3,4,5,6,7,8,NA,NA,NA,NA,NA,NA
"5","6/16/2020 17:16","6/16/2020 17:23","IP Address","69.180.243.75",100,409,TRUE,"6/16/2020 17:23","R_2TB36wqLWcZIIBg",NA,NA,NA,NA,36.07110596,-86.71959686,"anonymous","EN","Valuing and Leveraging Emerging Bilingual Students’ Ways of Communicating About the Natural World","","Very satisfied","All the information","Extremely well","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","It could have been a little longer to allow for the question and answer sessions without running over.  I was unable to stay afterwards because I had to get my son.  ","The videos watching students use various communication skills and their native language was very impactful as it gave me an opportunity to see what I should be looking for in my own students.","I will be sure to build a stronger relationship with our EL teacher so I can make sure I am accessing every resource possible for my future EL students.  ","What do typical assessments look like in very diverse classes?  I have never had more than one or two EL student in a class, but would love to see how other teachers assess a multilingual group.","Anything related to differentiation in a virtual setting since it is likely we will be teaching online at some point next year.  ","I appreciate the opportunity to attend these workshops without having to pay for them!  Thank you!","Teacher who teaches science, mathematics, or STEM related content","","","","","","","",NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA
"6","6/16/2020 17:45","6/16/2020 17:46","IP Address","71.206.127.191",100,60,TRUE,"6/16/2020 17:46","R_3s6SgKN1USWdkve",NA,NA,NA,NA,36.26460266,-86.70200348,"anonymous","EN","Valuing and Leveraging Emerging Bilingual Students’ Ways of Communicating About the Natural World","","Very satisfied","All the information","Extremely well","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","","Collaborating with other EL educators ","","","","","Teacher who teaches science, mathematics, or STEM related content","","","","","","","",NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","6/16/2020 20:09","6/16/2020 20:17","IP Address","71.206.127.86",100,434,TRUE,"6/16/2020 20:17","R_3GvTpeSGqsTU8uv",NA,NA,NA,NA,36.26460266,-86.70200348,"anonymous","EN","Valuing and Leveraging Emerging Bilingual Students’ Ways of Communicating About the Natural World","","Satisfied","All the information","Fairly poorly","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","I had a very difficult time responding on the Google documents.  I did not know how use them nor did anyone in my breakout group.  We shared verbally.  At the end, one person in my group figured out what to do.","Make sure tools to support multilingual students are not tools for students who need remedial help.","I am going to make sure I give multilingual students the opportunity to ""show"" what they know. They know more than they can say.  I needed to be reminded of that.","How do I work around time constraints and mandates?","","","Teacher who teaches science, mathematics, or STEM related content","","","","","","","",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","6/16/2020 20:43","6/16/2020 20:45","IP Address","107.77.233.215",100,90,TRUE,"6/16/2020 20:45","R_3RyFV8REAjAuVQp",NA,NA,NA,NA,33.80189514,-84.38610077,"anonymous","EN","Valuing and Leveraging Emerging Bilingual Students’ Ways of Communicating About the Natural World","","Satisfied","Some of the information","Fairly well","Agree","Agree","Agree","Agree","Agree","Agree","","","","","","","","","Instructional leader (teacher leader, instructional coach, teacher educator, etc.)","","","","","PreK/K",1,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","6/17/2020 8:38","6/17/2020 8:44","IP Address","66.128.255.21",100,360,TRUE,"6/17/2020 8:44","R_3FKZ0Vqf1Ruvp6h",NA,NA,NA,NA,35.63600159,-86.68409729,"anonymous","EN","Valuing and Leveraging Emerging Bilingual Students’ Ways of Communicating About the Natural World","","Somewhat satisfied","Some of the information","Fairly well","Neither agree nor disagree","Agree","Agree","Agree","Agree","Agree","None at this time","I took away the idea that multilingual students know more about science even though they may not know the vocabulary and language to express their knowledge","I am working on adding PBL's , phenomona, and more hands-on activities to engage those multilingual students and the other students in science.","None at this time","Nothing at this time","No, thank you.","Teacher who teaches science, mathematics, or STEM related content","","","","","","","",NA,NA,NA,NA,NA,6,7,NA,NA,NA,NA,NA,NA,NA
"10","6/17/2020 9:21","6/17/2020 9:30","IP Address","73.58.139.157",100,581,TRUE,"6/17/2020 9:30","R_3MGNL8s3VPcKBrH",NA,NA,NA,NA,36.09640503,-86.82119751,"anonymous","EN","Other","I attended both.","Very satisfied","All the information","Extremely well","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","I would extend the time by 30 minutes in each of the workshop days.","Trauma can cause people to behave differently and must be acknowledged and dealt with. It is critical that we as educators attend to learning as not only cognitive in nature but also: behavioral, cultural, affective, political, historical, and ethical.","I will be setting aside planning and teaching time to address trauma. I will be setting aside planning a teaching time to better address the specific needs of the bilingual learners in my class.","Are there specific books and online resources you suggest for lesson planning taking trauma and bilingual learners?","Project planning and planning for supporting those experiencing trauma.","","Teacher who teaches science, mathematics, or STEM related content","","","","","","","",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
