"","Q12","Q13","Q14.1","Q17","TOPICS","Q11"
"1","","How to engage with students that have trauma.","I will be more aware of the possible traumas student  could have and how to address it in the  classroom.","","Trauma, engagement, stem",""
"2","","","","","",""
"3","It might have been a good idea to group elementary, middle, and high separately. ","I need to think of what my students may have been through at home and how I will do things differently in the classroom when we go back.","More patient.","Just the uncertainty of what schools will look like in August.","More SEL for elementary ","No"
"4","N/A","N/A","N/A","N/A","N/A","N/A"
"5","None that come to mind.","How much I miss professional dialogue and sharing!","I received so many good ideas and awareness about issues, I do not think I cannot change for the better!","I am not sure how to update the Google slides/documents from the workshop.","I really enjoy the breakout session work. Maybe more opportunities to work with the SEL material with other professionals outside of my school.",""
"6","Nothing ","Self care and reflect positive to students ","More care ","","",""
"7","","An important take away for me was gaining understanding about how students poor behaviors are sometimes a result of their trauma reactions and that we must shape our teaching, counseling, disciplining, etc. in light of that knowledge.","I plan to embed more trauma-informed teaching methods & SEL goals into my academic lesson plans.","","",""
"8","Could have been longer","This is so timely with everything going on in the world these past few months.","I’ll be more understanding of misbehavior if the child has endured a trauma.","Will there be another PD on this? ","","That was a timely professional development well presented. One of the best PDs I’ve attended,"
"9","","","","","","I enjoyed how the two presenters worked together. It made the worship more interesting.  I think both shared information  that was both relevant and helpful to me as a teacher. "
"10","","","","","",""
"11","","Take care of yourself, student response to trauma, T or t trauma","Have more structures in place to support students with trauma such as opportunities for meaningful student collaboration, using a Mood Meter, using topics to foster social awareness, etc","Will schools receive more counselors and social workers to support teachers as we begin to immerse ourselves in SEL and trauma informed practices?","",""
"12","None","Sharing ideas for SEL lessons and ways to connect. ","I will incorporate things I learned in my classroom. ","None","CPR","N/A"
"13","I would have liked more info about incorporating STEM while being mindful of SEL & trauma.  I did not see how STEM was incorporated.","For everyone to remember that our students have dealt with a lot over the last few months.","I already try to incorporate SEL practices.  I expect that the main changes to my classroom will be COVID-related restrictions.","N/A","I would like more ideas of how to incorporate SEL, COVID-restrictions, etc., while in a content classroom.  Share actual ideas from classrooms that have helped students that involved the content.","N/A"
"14","","How to welcome my students back to school after the COVID 19 as we all experienced traumatic experiences. ","","","",""
